Name,ScheduleState,KanbanState,PortfolioItem,Project,Iteration,Owner,PlanEstimate,Release,Description,Ready,Blocked,BlockedReason,DisplayColor,Notes,dataset
API for Basic Shipping,Defined,,API for Shipping,API Team,Iteration 8,,2,R3,"For users who want to track a single package, add the ability to see their results from outside systems.",FALSE,FALSE,,,,Summer
API for Multi-Site Shipping,Defined,,API for Shipping,API Team,Iteration 8,,2,R3,"For users who want to track multiple packages in a single order, add the ability to see their results from outside systems.",FALSE,FALSE,,,,Summer
Support USPS Shipping,Defined,,API for Shipping,API Team,,,,,,FALSE,FALSE,,,,Summer
Copy Shopping Cart,Defined,,Creation of cart,Shopping Team,,,5,R2,,FALSE,FALSE,,,,Summer
Create Shopping Cart,Accepted,Accepted,Creation of cart,Shopping Team,Iteration 5,diane@acme.com,5,R2,,FALSE,FALSE,,,,Summer
Delete Shopping Cart,Defined,,Creation of cart,Shopping Team,,,5,R2,,FALSE,FALSE,,,,Summer
Save Shopping Cart,Accepted,Accepted,Creation of cart,Shopping Team,Iteration 5,diane@acme.com,7,R2,,FALSE,FALSE,,,,Summer
Add error message if credit card number length is &lt; 16,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,tony@acme.com,1,R2,,FALSE,FALSE,,,,Summer
Purchase Multiple Items,Defined,,Credit card payments,Payment Team,,,5,,,FALSE,FALSE,,,,Summer
Add order processing status on user profile page,Defined,,Credit card payments,Payment Team,,,13,,,FALSE,FALSE,,,,Summer
Add support for Discover card,Defined,,Credit card payments,Payment Team,Iteration 6,,3,,,FALSE,FALSE,,,,Summer
Apple Pay,Accepted,Accepted,Credit card payments,Payment Team,Iteration 6,deb@acme.com,3,R2,,FALSE,FALSE,,,,Summer
Batch multiple payments for single transaction,Defined,Prioritized,Credit card payments,Payment Team,Iteration 7,deb@acme.com,7,R2,,FALSE,FALSE,,,,Summer
Change Billing Address,Defined,,Credit card payments,Payment Team,,,,,"As a returning customer, I want to be able to change my billing address.",FALSE,FALSE,,,,Summer
Change Method of Payment,Defined,,Credit card payments,Payment Team,,,3,,A customer should be able to change their method of payment for an order.,FALSE,FALSE,,,,Summer
Cross check purchases with fraud credit card list,Defined,,Credit card payments,Payment Team,,,7,,,FALSE,FALSE,,,,Summer
Demo Support,Defined,Prioritized,Credit card payments,Payment Team,Iteration 7,dave@acme.com,,R2,The demonstration instance of the application should be updated to reflect recent changes.,FALSE,FALSE,,,,Summer
Design spike,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,deb@acme.com,,R2,,FALSE,FALSE,,,,Summer
Generate audit report tempate for annual per-user purchase history.,Defined,,Credit card payments,Payment Team,,,5,,,FALSE,FALSE,,,,Summer
Handle out of limit errors on credit card charges,Defined,,Credit card payments,Payment Team,Iteration 7,peter@acme.com,13,R2,,FALSE,FALSE,,,,Summer
Install new 2048bit encryption key,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,dave@acme.com,3,R2,,FALSE,FALSE,,,,Summer
Log unsuccessful payment attempts,Defined,,Credit card payments,Payment Team,Iteration 6,,3,,,FALSE,FALSE,,,,Summer
Pay with Points,Defined,,Credit card payments,Payment Team,Iteration 6,daphne@acme.com,3,R2,,FALSE,FALSE,,,,Summer
Payment - Supported Credit Cards,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,deb@acme.com,13,R2,Support a broad range of payment methods consistent with other e-commerce sites - including gift certificates,FALSE,FALSE,,,,Summer
align email 'importance field to case 'priority' field,Defined,,Email-to-case integration,API Team,Iteration 6,peter@acme.com,5,R2,,FALSE,FALSE,,,,Summer
new case creation for case@domain.com,Defined,,Email-to-case integration,API Team,Iteration 8,peter@acme.com,5,R3,,FALSE,FALSE,,,,Summer
support case updates by matching subject line in reply emails,Defined,,Email-to-case integration,API Team,,,7,,,FALSE,FALSE,,,,Summer
new case creation for case@domain.com,Accepted,Accepted,Extended Email-to-case integration,API Team,Iteration 6,,3,R2,,FALSE,FALSE,,,,Summer
support case updates by matching subject line in reply emails,Defined,Prioritized,Extended Email-to-case integration,API Team,Iteration 7,aaron@acme.com,3,R2,,FALSE,FALSE,,,,Summer
Upgrade to React v0.4,Accepted,Accepted,Homepage,Shopping Team,Iteration 4,aaron@acme.com,5,R1,,FALSE,FALSE,,,,Summer
Resolve Performance Issues,Accepted,Accepted,Homepage,Shopping Team,Iteration 3,aaron@acme.com,5,R1,,FALSE,FALSE,,,,Summer
Promotion codes,Accepted,Accepted,Homepage,Shopping Team,Iteration 3,dudley@acme.com,2,R1,,FALSE,FALSE,,,,Summer
configure base drupal server,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,5,R1,,FALSE,FALSE,,,,Summer
