Name,Time Criticality,RR/OE Value,Risk Score,Job Size,InvestmentCategory,Project,Owner,Parent,Release,PlannedStartDate,PlannedEndDate,Description,DisplayColor,Notes,Ready,ValueScore,PreliminaryEstimate,State,dataset
Shopping Cart,13,3,5,3,Cost Savings,Shopping Team,peter@acme.com,Minimal online shopping site,R2,11/21/2017 9:48,12/16/2017 9:48,"<p class=""rally-rte-class-03cb47fb2""><span class=""rally-rte-class-04dd18d0f"">Build a shopping cart module to select items for eventual purchase. Provide basic navigation and shopping cart capabilities to mark items for purchase. Upon checkout, the Online Store will calculate a total for the order, including shipping and handling charges and the associated taxes, as applicable.&nbsp; The following payment options should be provided:</span></p><p class=""rally-rte-class-03221dadb""><span class=""rally-rte-class-0b1c8cea2""><img src=""https://lh5.googleusercontent.com/R-2ZX8gA5GTrG8A2OzIRpBjUFx6_RNRSVoZQxOvo7gSmeP4Wjp6eIkWdOcv0s05-zf6Hm_L4OEfJLpvmjqiEUdC_b-bW-Xo9JkCqTFdYywCJvEueazAj3EfDrTxXUdGCpcAQeHM"" width=""500px;"" height=""138px;"" class=""CToWUd rally-rte-class-047830fe9"" /></span></p><p class=""rally-rte-class-03cb47fb2"">High-level functionality is expected to include:</p><ul><li>Intake items from the Online Store Search &amp; Browse functions</li><li>Viewing Recent Purchases to encourage repeat purchases</li><li>Persisting the Shopping Cart content between sessions</li><li>Clear calls to action for Purchasing Items</li><li>Reasonable scalability for initial roll-out and early growth (TBD)</li></ul>",,,FALSE,8,M,Develop,Summer
Support write API,3,8,0,1,Strategic Growth,API Team,aaron@acme.com,Modernize customer service portal,R2,11/9/2017 9:48,12/13/2017 9:48,,,,FALSE,0,S,Develop,Summer
Extended Email-to-case integration,13,13,0,2,Cost Savings,API Team,aaron@acme.com,Maintain legacy purchasing system,R2,11/12/2017 9:48,12/19/2017 9:48,,,,FALSE,4,M,Develop,Summer
Saving profile,1,3,0,1,Maintenance,Shopping Team,peter@acme.com,Personalized online shopping experience,R2,11/12/2017 9:48,12/1/2017 9:48,,,,FALSE,0,M,Develop,Summer
Online chat support,,,,,Strategic Growth,API Team,aaron@acme.com,Modernize customer service portal,R2,11/9/2017 9:48,12/19/2017 9:48,,,,FALSE,3,M,Develop,Summer
Realtime notifications,,,,,Strategic Growth,API Team,aaron@acme.com,Integrate social into shopping experience,R2,12/10/2017 9:48,12/31/2017 9:48,"All users should be able to easily login, logout, and safely store their relevant information with us<br /><br />Acceptance Criteria <ul> <li>Login requires username in email format and password</li> <li>One-click logout</li> <li>Logout provides link to login again</li> <li><b>Non-functional: https data transfer</b></li> <li><b>Non-functional: passwords stored encrypted in database</b></li> </ul>",,,FALSE,20,L,Develop,Summer
Email-to-case integration,,,,,Cost Savings,API Team,aaron@acme.com,Maintain legacy purchasing system,R2,11/6/2017 9:48,12/31/2017 9:48,,,,FALSE,9,M,Develop,Summer
Outbound SMS messages for support case updates,1,1,3,1,Cost Savings,API Team,aaron@acme.com,Maintain legacy purchasing system,R2,11/15/2017 9:48,12/1/2017 9:48,,,,FALSE,5,M,Develop,Summer
Credit card payments,5,5,3,3,Cost Savings,Payment Team,patricia@acme.com,Minimal online shopping site,R2,11/15/2017 9:48,12/22/2017 9:48,see business case attached,,,FALSE,6,L,Validate,Summer
Purchase path,,,,,Cost Savings,Shopping Team,peter@acme.com,Minimal online shopping site,R2,11/6/2017 9:48,12/25/2017 9:48,"<p class=""rally-rte-class-03cb47fb2""><span class=""rally-rte-class-04dd18d0f"">Build a shopping cart module to select items for eventual purchase. Provide basic navigation and shopping cart capabilities to mark items for purchase. Upon checkout, the Online Store will calculate a total for the order, including shipping and handling charges and the associated taxes, as applicable.&nbsp; The following payment options should be provided:</span></p><p class=""rally-rte-class-03221dadb""><span class=""rally-rte-class-0b1c8cea2""><img src=""https://lh5.googleusercontent.com/R-2ZX8gA5GTrG8A2OzIRpBjUFx6_RNRSVoZQxOvo7gSmeP4Wjp6eIkWdOcv0s05-zf6Hm_L4OEfJLpvmjqiEUdC_b-bW-Xo9JkCqTFdYywCJvEueazAj3EfDrTxXUdGCpcAQeHM"" width=""500px;"" height=""138px;"" class=""CToWUd rally-rte-class-047830fe9"" /></span></p><p class=""rally-rte-class-03cb47fb2"">High-level functionality is expected to include:</p><ul><li>Intake items from the Online Store Search &amp; Browse functions</li><li>Viewing Recent Purchases to encourage repeat purchases</li><li>Persisting the Shopping Cart content between sessions</li><li>Clear calls to action for Purchasing Items</li><li>Reasonable scalability for initial roll-out and early growth (TBD)</li></ul>",,,FALSE,8,L,Discover,Summer
Priority shipping,5,2,2,3,Short Term Growth,Fulfillment Team,pam@acme.com,Minimal online shopping site,R2,11/21/2017 9:48,12/19/2017 9:48,,,,FALSE,5,L,Develop,Summer
Order Status 2.0,18,5,5,3,Strategic Growth,Shopping Team,peter@acme.com,Modernize customer service portal,R2,11/12/2017 9:48,12/16/2017 9:48,,,,FALSE,7,M,Develop,Summer
Rearchitect User Management,,,,,Strategic Growth,API Team,aaron@acme.com,Modernize customer service portal,R2,11/24/2017 9:48,12/25/2017 9:48,,,,FALSE,5,S,Discover,Summer
Creation of cart,,,,,Short Term Growth,Shopping Team,peter@acme.com,Personalized online shopping experience,R2,11/21/2017 9:48,12/31/2017 9:48,,,,FALSE,0,M,Develop,Summer
Special Offers,,,,,Short Term Growth,Shopping Team,peter@acme.com,Personalized online shopping experience,R2,11/30/2017 9:48,12/28/2017 9:48,,,,FALSE,14,M,Develop,Summer
Shopping history,,,,,Strategic Growth,Fulfillment Team,pam@acme.com,Personalized online shopping experience,R2,11/6/2017 9:48,12/28/2017 9:48,,,,FALSE,0,L,Develop,Summer
Online refunds,,,,,Short Term Growth,Payment Team,patricia@acme.com,Minimal online shopping site,R2,11/6/2017 9:48,12/16/2017 9:48,see business case attached,,,FALSE,6,M,Develop,Summer
Integrate with Paypal,,,,,Short Term Growth,Payment Team,patricia@acme.com,Minimal online shopping site,R2,11/15/2017 9:48,12/16/2017 9:48,see business case attached,,,FALSE,6,M,Develop,Summer
Integrate with WePay,,,,,Strategic Growth,Payment Team,patricia@acme.com,Minimal online shopping site,R2,11/18/2017 9:48,12/31/2017 9:48,see business case attached,,,FALSE,6,M,Develop,Summer
Refund management,,,,,Short Term Growth,Fulfillment Team,pam@acme.com,Minimal online shopping site,R2,11/15/2017 9:48,12/16/2017 9:48,see business case attached,,,FALSE,6,M,Develop,Summer
 ========^^^^ R2 ^^^^========,,,,,None,Consumer Site,,,,,,,,,,,,,Summer
API for Shipping,,,,,Strategic Growth,API Team,aaron@acme.com,Create a read-only API,R3,,,,,,FALSE,1,L,Propose,Summer
User Profile,1,8,0,3,Short Term Growth,Shopping Team,peter@acme.com,Minimal online shopping site,R3,1/1/2018 9:48,1/26/2018 9:48,,,,FALSE,7,M,Discover,Summer
Credit card error messaging,,,,,None,Payment Team,patricia@acme.com,Minimal online shopping site,R3,,,,,,FALSE,5,S,Propose,Summer
Product Listings,3,8,0,1,Short Term Growth,Shopping Team,peter@acme.com,Minimal online shopping site,R3,1/31/2018 9:48,2/25/2018 9:48,,,,FALSE,10,M,Propose,Summer
Realtime chat support,,,,,Strategic Growth,API Team,aaron@acme.com,Modernize customer service portal,R3,1/4/2018 9:48,2/13/2018 9:48,,,,FALSE,5,S,Discover,Summer
Shopping preferences,,,,,Strategic Growth,Shopping Team,peter@acme.com,Personalized online shopping experience,R2,11/15/2017 9:48,12/31/2017 9:48,,,,FALSE,0,L,Develop,Summer
