Name,ScheduleState,KanbanState,PortfolioItem,Project,Iteration,Owner,PlanEstimate,Release,Description,Ready,Blocked,BlockedReason,DisplayColor,Notes,listing_order
API for Basic Shipping,Defined,,API for Shipping,API Team,Iteration 8,,2,R3,"For users who want to track a single package, add the ability to see their results from outside systems.",FALSE,FALSE,,,,1
API for Multi-Site Shipping,Defined,,API for Shipping,API Team,Iteration 8,,2,R3,"For users who want to track multiple packages in a single order, add the ability to see their results from outside systems.",FALSE,FALSE,,,,2
Support USPS Shipping,Defined,,API for Shipping,API Team,,,,,,FALSE,FALSE,,,,3
Copy Shopping Cart,Defined,,Creation of cart,Shopping Team,,,5,R2,,FALSE,FALSE,,,,4
Create Shopping Cart,Accepted,Accepted,Creation of cart,Shopping Team,Iteration 5,diane@acme.com,5,R2,,FALSE,FALSE,,,,5
Delete Shopping Cart,Defined,,Creation of cart,Shopping Team,,,5,R2,,FALSE,FALSE,,,,6
Save Shopping Cart,Accepted,Accepted,Creation of cart,Shopping Team,Iteration 5,diane@acme.com,7,R2,,FALSE,FALSE,,,,7
Add error message if credit card number length is &lt; 16,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,tony@acme.com,1,R2,,FALSE,FALSE,,,,8
Purchase Multiple Items,Defined,,Credit card payments,Payment Team,,,5,,,FALSE,FALSE,,,,9
Add order processing status on user profile page,Defined,,Credit card payments,Payment Team,,,13,,,FALSE,FALSE,,,,10
Add support for Discover card,Defined,,Credit card payments,Payment Team,Iteration 6,,3,,,FALSE,FALSE,,,,11
Apple Pay,Accepted,Accepted,Credit card payments,Payment Team,Iteration 6,deb@acme.com,3,R2,,FALSE,FALSE,,,,12
Batch multiple payments for single transaction,Defined,Prioritized,Credit card payments,Payment Team,Iteration 7,,7,R2,,FALSE,FALSE,,,,13
Change Billing Address,Defined,,Credit card payments,Payment Team,,,,,"As a returning customer, I want to be able to change my billing address.",FALSE,FALSE,,,,14
Change Method of Payment,Defined,,Credit card payments,Payment Team,,,3,,A customer should be able to change their method of payment for an order.,FALSE,FALSE,,,,15
Cross check purchases with fraud credit card list,Defined,,Credit card payments,Payment Team,,,7,,,FALSE,FALSE,,,,16
Demo Support,Defined,Prioritized,Credit card payments,Payment Team,Iteration 7,,,R2,The demonstration instance of the application should be updated to reflect recent changes.,FALSE,FALSE,,,,17
Design spike,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,deb@acme.com,,R2,,FALSE,FALSE,,,,18
Generate audit report tempate for annual per-user purchase history.,Defined,,Credit card payments,Payment Team,,,5,,,FALSE,FALSE,,,,19
Handle out of limit errors on credit card charges,Defined,,Credit card payments,Payment Team,Iteration 7,,13,R2,,FALSE,FALSE,,,,20
Install new 2048bit encryption key,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,dave@acme.com,3,R2,,FALSE,FALSE,,,,21
Log unsuccessful payment attempts,Defined,,Credit card payments,Payment Team,Iteration 6,,3,,,FALSE,FALSE,,,,22
Pay with Points,Defined,,Credit card payments,Payment Team,Iteration 6,daphne@acme.com,3,R2,,FALSE,FALSE,,,,23
Payment - Supported Credit Cards,Accepted,Accepted,Credit card payments,Payment Team,Iteration 5,deb@acme.com,13,R2,Support a broad range of payment methods consistent with other e-commerce sites - including gift certificates,FALSE,FALSE,,,,24
align email 'importance field to case 'priority' field,Defined,,Email-to-case integration,API Team,Iteration 6,peter@acme.com,5,R2,,FALSE,FALSE,,,,25
new case creation for case@domain.com,Defined,,Email-to-case integration,API Team,Iteration 8,peter@acme.com,5,R3,,FALSE,FALSE,,,,26
support case updates by matching subject line in reply emails,Defined,,Email-to-case integration,API Team,,,7,,,FALSE,FALSE,,,,27
new case creation for case@domain.com,Accepted,Accepted,Extended Email-to-case integration,API Team,Iteration 6,,3,R2,,FALSE,FALSE,,,,28
support case updates by matching subject line in reply emails,Defined,Prioritized,Extended Email-to-case integration,API Team,Iteration 7,,3,R2,,FALSE,FALSE,,,,29
Upgrade to React v0.4,Accepted,Accepted,Homepage,Shopping Team,Iteration 4,aaron@acme.com,5,R1,,FALSE,FALSE,,,,30
Resolve Performance Issues,Accepted,Accepted,Homepage,Shopping Team,Iteration 3,aaron@acme.com,5,R1,,FALSE,FALSE,,,,31
Promotion codes,Accepted,Accepted,Homepage,Shopping Team,Iteration 3,dudley@acme.com,2,R1,,FALSE,FALSE,,,,32
configure base drupal server,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,5,R1,,FALSE,FALSE,,,,33
enable external api access,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,5,R1,,FALSE,FALSE,,,,34
implement cms portal,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,4,R1,,FALSE,FALSE,,,,35
Mauna Loa Hardening,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,4,R1,,FALSE,FALSE,,,,36
Patch #1 - Mauna Loa,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,2,R1,,FALSE,FALSE,,,,37
plugins for external feed management,Accepted,Accepted,Knowledgebase,API Team,Iteration 4,,3,R1,,FALSE,FALSE,,,,38
As a user I would like to create a chat,Accepted,Accepted,Online chat support,API Team,Iteration 4,dudley@acme.com,3,R2,,FALSE,FALSE,,,,39
As a user I would like to delete a chat,Defined,,Online chat support,API Team,,,5,R2,,FALSE,FALSE,,,,40
As a user I would like to search for chat history,Defined,,Online chat support,API Team,,,5,R2,,FALSE,FALSE,,,,41
Check the Status of Your Order,Accepted,Accepted,Order Status 2.0,Shopping Team,Iteration 5,daniel@acme.com,5,R2,"As a customer, I want the status of my order to be presented to me in the form of a simple report that is easily accessed on entrance to the shopping cart.  The report should include details regarding shipping information (tracking numbers and estimated arrival dates), the number of items I purchased (quantity and unit price), as well as the total amount spent.",FALSE,FALSE,,,,42
Combine Orders,Defined,,Order Status 2.0,Shopping Team,,,3,,"For multiple orders with the same destination and expected ship dates within 24 hours of each other, the shipping department should combine the orders and ship them as one.",FALSE,FALSE,,,,43
Create Deployment Scripts,Accepted,Accepted,Order Status 2.0,Shopping Team,Iteration 4,tara@acme.com,3,R1,Create Deployment scripts for the first release,FALSE,FALSE,,,,44
Customizing Product List,Defined,,Order Status 2.0,Shopping Team,,,7,,The system should tailor product lists to each customer based on preferences and transaction history.,FALSE,FALSE,,,,45
Order Modification,Defined,,Order Status 2.0,Shopping Team,,,3,,"Within 24 hours of the expected shipping date, a customer should be able to modify his/her order with no repercussions.",FALSE,FALSE,,,,46
Provide connection to CSPAN verification service.,Defined,Prioritized,Order Status 2.0,Shopping Team,Iteration 7,,5,R2,,FALSE,FALSE,,,,47
Provide failover connection to G5 verification service.,Defined,,Order Status 2.0,Shopping Team,Iteration 6,diane@acme.com,,R2,,FALSE,FALSE,,,,48
Return Items,Defined,,Order Status 2.0,Shopping Team,,,4,,A customer should be able to return unwanted or defective items.,FALSE,FALSE,,,,49
Search for Items,Defined,,Order Status 2.0,Shopping Team,,,3,,A user should able to search for items using a keyword.,FALSE,FALSE,,,,50
Send failure logs to CSPAN verification service nightly.,Defined,Prioritized,Order Status 2.0,Shopping Team,Iteration 7,,2,R2,,FALSE,FALSE,,,,51
