Owner,Name,Project,TestFolder,WorkProduct,Method,Description,Objective,PostConditions,PreConditions,Priority,Ready,Risk,Type,ValidationExpectedResult,ValidationInput,dataset
tony@acme.com,Calculate shipping costs for multiple destinations,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Check Invoice Creation,Fulfillment Team,,Ship Multi-Site Orders,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Check the Status of Your Orders,Shopping Team,Order Status,Check the Status of Your Order,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Validate data fields for Shipping information,Shopping Team,,Data fields for Shipping information,Manual,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Default Shipping - Ground,Shopping Team,,,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,GUI - Checkout Button,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Critical,FALSE,Low,Acceptance,,,Summer
tara@acme.com,GUI - Checkout Button for Empty Cart,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,GUI - Multi-Site Shipping Options,Shopping Team,,,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Invalid Promo Code,Shopping Team,,,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Log-in to Secured Website,Shopping Team,Login/Authentication,Log-in to Secured Website,Manual,Verify that entering a correct username/password combo on the login screen grants a user access to the application.,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Log-off Website,Shopping Team,Login/Authentication,Log-off Website,Manual,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Max Number of Shipping Destinations,Shopping Team,,,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,No Address Entered,Shopping Team,,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tina@acme.com,One Promo Code per order,Payment Team,,Payment - Promotional Codes,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Order Verification,Fulfillment Team,,Ship Multi-Site Orders,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Order Verification - Backordered Item Handling,Shopping Team,Order Status,,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Priority Shipping chosen on a per-package basis,Fulfillment Team,,Ship Multi-Site Orders,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Priority Shipping GUI,Shopping Team,Fulfillment,,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Priority Shipping Options for each Destination,Shopping Team,,,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Promo Code GUI,Shopping Team,,,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Purchase MAX Items,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Important,FALSE,Low,Acceptance,An email   should be sent to your user id&nbsp;summarizing&nbsp;your completed purchase.,The   purchase complete window should list your order details that were purchased.,Summer
tara@acme.com,Purchase Multiple Items,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Important,FALSE,Low,Acceptance,An email   should be sent to your user id&nbsp;summarizing&nbsp;your completed purchase.,The   purchase complete window should list your order details that were purchased.,Summer
tara@acme.com,Purchase One Item,Shopping Team,Checkout,Purchase Your Items,Manual,,To test the functionality of the purchase options in the shopping site.,Logoff and clear the browser cache so that no lingering test data gets saved. &nbsp;Reset the account history details in the shopping application.,A browser connection to the shopping site is required. &nbsp;Please ensure that your browser is updated to the latest version for your platform. &nbsp;A registered User ID is also required.,Important,FALSE,Low,Acceptance,An email should be sent to your user id&nbsp;summarizing&nbsp;your completed purchase.,The purchase complete window should list your order details that were purchased.,Summer
tara@acme.com,Search for Items,Shopping Team,Shopping,Search for Items,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Select MAX+1 Items,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Important,FALSE,Low,Acceptance,An email   should be sent to your user id&nbsp;summarizing&nbsp;your completed purchase.,The   purchase complete window should list your order details that were purchased.,Summer
tara@acme.com,Shipping Address and Billing Address must match,Shopping Team,,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Shipping Calculations,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,"System should support 10,000 concurrent users",Shopping Team,,"System should support 10,000 concurrent users",Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Tracking Information,Shopping Team,Order Status,,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Update Total Shipping Cost,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tony@acme.com,Updated Totals,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Validate Email Address - Email Authentication,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Validate Email Address - Invalid Address Handling,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Useful,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Validate Email Address - Permissions,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,Summer
tara@acme.com,Validate website must be available 24x7,Shopping Team,,Website must be available 24x7,Manual,,,,,Critical,FALSE,Low,Acceptance,,,Summer
,Failed Test Case for Demonstration,Medical Records App,,Prescription Administration Updates,Automated,,,,,,FALSE,,Functional,,,Summer
,CheckNewPatient-QA,Medical Records App,,Admin - Accept new patients,Manual,,,,,,FALSE,,Acceptance,,,Summer
,CheckExistingPatient-QA,Medical Records App,,Admin - Accept new patients,Manual,,,,,,FALSE,,Acceptance,,,Summer
