Project,Name,StartDate,EndDate,PlannedVelocity,State,Theme,Notes,dataset
Analytics Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
API Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Consumer Site,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Fulfillment Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,12,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Online Store,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Payment Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Reseller Portal Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Reseller Site,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Shopping Team,Iteration 1,9/11/2017 9:35,9/24/2017 9:35,12,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,Summer
Analytics Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
API Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Consumer Site,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Fulfillment Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,12,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Online Store,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
