project,name,startdate,enddate,plannedvelocity,state,theme,notes,listing_order
Analytics Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,1
API Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,2
Consumer Site,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,3
Fulfillment Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,12,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,4
Online Store,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,5
Payment Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,6
Reseller Portal Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,7
Reseller Site,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,10,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,8
Shopping Team,Iteration 1,6/1/2017 11:23,6/14/2017 11:23,12,Accepted,<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,,9
Analytics Team,Iteration 2,6/15/2017 11:23,6/28/2017 11:23,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,10
API Team,Iteration 2,6/15/2017 11:23,6/28/2017 11:23,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,11
Consumer Site,Iteration 2,6/15/2017 11:23,6/28/2017 11:23,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,12
Fulfillment Team,Iteration 2,6/15/2017 11:23,6/28/2017 11:23,12,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,13
