Name,KanbanState,ScheduleState,Owner,Requirement,Project,Iteration,Release,PlanEstimate,Severity,State,Environment,Priority,Ready,Resolution,Blocked,BlockedReason,Description,Notes,DisplayColor,dataset
Logoff: No warning when user clicks Logout link,Accepted,Accepted,,,Shopping Team,,,1,Minor Problem,Closed,Production,Normal,FALSE,None,FALSE,,"When the Logout link is clicked, the application should display a message asking whether the user is sure he/she wants to continue logging out.",,,Summer
"System Performance suffers for constant loads of only 1,000 users",Accepted,Accepted,,,Shopping Team,,,3,Major Problem,Closed,Production,High Attention,FALSE,None,FALSE,,"The system experiences noticeable degradation in performance for loads of only 1,000 concurrent users.",,,Summer
Language Support:  Special Characters,Accepted,Accepted,,,Shopping Team,,,3,Major Problem,Closed,Development,High Attention,FALSE,None,FALSE,,Special characters in both Japanese and French are not being displayed properly.,,,Summer
Customer is not able to choose Japanese as their display language,Accepted,Accepted,,,Shopping Team,,,1,Major Problem,Closed,Development,High Attention,FALSE,None,FALSE,,Japanese is not appearing in the 'Select Language' drop down.,,,Summer
Login 404 Issue,Accepted,Accepted,dudley@acme.com,,Shopping Team,,,2,Crash/Data Loss,Closed,Development,Resolve Immediately,FALSE,None,FALSE,,Received an Error 404 warning on entrance to the application.,,,Summer
Authentication Hyperlink is broken,Accepted,Accepted,,,Shopping Team,,,1,Major Problem,Closed,Production,High Attention,FALSE,None,FALSE,,"Currently, the authentication hyperlink provided to the customer via email is broken.&nbsp; Following the link brings the customer to the homepage, but the customer has not been validated.<br /><br />Steps:<br /> <ul><li>Created a new customer account</li><li>Received an email that contained a hyperlink to complete authentication</li><li>Clicking the link brought me to the homepage of the app</li><li>On login, I had yet to be authenticated so shopping could proceed<br /></li></ul>",,,Summer
404 on address page,Accepted,Accepted,,,Shopping Team,Iteration 3,R1,2,Major Problem,Closed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Unable to check status of archived orders,Accepted,Accepted,dudley@acme.com,,Shopping Team,Iteration 2,R1,2,Major Problem,Closed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Unable to open an order from history,Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 2,R1,2,Major Problem,Closed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Found an error when I tried to access my shopping cart,,Defined,,,Shopping Team,,,,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,I was taken to the checkout screen prematurely,,,Summer
Problem with User Authentication,,Defined,,,Shopping Team,,,,Major Problem,Open,Production,Resolve Immediately,FALSE,None,FALSE,,More than one customer is reporting that they are being logged off of the system,,,Summer
BZ: Could not login to app,Prioritized,Defined,,,Shopping Team,Iteration 7,R2,5,Major Problem,Open,Staging,High Attention,FALSE,None,FALSE,,Customer could not login.,,,Summer
Application displays individual shipping costs but total is unchanged,Prioritized,Defined,,,Fulfillment Team,,,2,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,"The individual estimated shipping costs for each package/destination are displayed, but the Total field only displays the shipping cost for the first destination in the list.&nbsp; Also, once a customer checks out, the total for the entire order only reflects shipping for one destination.",,,Summer
Tax totals for split shipping not calculated properly,Prioritized,Defined,,,Fulfillment Team,,,1,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,,,,Summer
UI for split - need more separation on order sections,,Defined,,,Fulfillment Team,,,2,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,,,,Summer
Click on split shipping - nothing displays,Accepted,Accepted,,,Fulfillment Team,,,3,Major Problem,Closed,Production,Resolve Immediately,FALSE,None,FALSE,,,,,Summer
Priority shipping options not appearing for multiple destinations,,Defined,,,Fulfillment Team,,,2,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,"Having a shopping cart that contained 2 items, I chose to ship the items to two different destinations.&nbsp; The individual destination buckets appeared appropriately, however there were no visible priority shipping options for either destination.",,,Summer
No warning when MAX destinations has been reached,Prioritized,Defined,,,Fulfillment Team,,,5,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,"Once a customer has elected to ship items to the maximum number of different destinations, the add destination button is disabled, but no warning is displayed explaining why.",,,Summer
Too many digits appearing for updated shipping cost,Prioritized,Defined,,,Fulfillment Team,,,2,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,"Total shipping cost should be displayed as '$XXX.XX', but currently the total has 5 digits after the decimal ($23.78352).",,,Summer
Package Tracking Notifications are broken,Accepted,Accepted,,,Fulfillment Team,,,3,Minor Problem,Closed,Production,Normal,FALSE,None,FALSE,,Only one tracking notification is being sent to the customer when they have packages being shipped to multiple destinations.&nbsp; The system should send an email for packages being sent to each destination.,,,Summer
Default selection is Express,,Defined,,,Fulfillment Team,,,2,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,"The default selection for priority shipping is currently Express, it should instead be Ground.",,,Summer
Payment by e-Check failing on submit,,Defined,,,Payment Team,,,1,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,Error message indicating 'Gateway 502' problem.,,,Summer
No warning when 18digits given for credit card,Prioritized,Defined,,,Payment Team,,,5,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,Able to add 1 extra digit to credit card input box,,,Summer
Browser shows non-validated security key on payment form page,Prioritized,Defined,,,Payment Team,,,2,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,Browser prompts to confirm security exception.,,,Summer
Only one selected item is being added to the cart,Ready for Acceptance,Completed,daniel@acme.com,Purchase Your Items,Shopping Team,Iteration 6,R2,3,Minor Problem,Fixed,Development,Normal,FALSE,None,FALSE,,Steps:<br /> <ul><li>Logged in as a customer</li><li>Selected multiple items to add to cart at once</li><li>Clicked 'Add to Cart'</li><li>Clicked 'View My Cart'</li><li>Only the first item chosen was actually added to the cart<br /></li></ul>,,,Summer
Recurring 'No Address' Warning,Ready for Acceptance,Completed,,,Shopping Team,,,3,Minor Problem,Fixed,Staging,Normal,FALSE,None,FALSE,,"Steps:<br /> <ul><li>Created a new account, but didn't enter an address</li><li>Logged in as the new user, system displayed a message asking for address information</li><li>Enter a valid address and click save</li><li>For every following action within the same shopping session, the system warned that no address information had been entered, even though it was still saved and visible<br /></li></ul>",,,Summer
Production Defect in accessing shopping cart,,Defined,,,Shopping Team,,,2,Crash/Data Loss,Open,Development,Resolve Immediately,FALSE,None,FALSE,,Error 404 - Not Found when trying to navigate to the shopping cart.,,,Summer
State drop down doesn't contain any items,Ready for Acceptance,Completed,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Major Problem,Fixed,Development,High Attention,FALSE,None,FALSE,,The customer should enter the following shipping information:<br /><br /> <ul><li>Name</li><li>Address</li><li>City</li><li>State (drop down)</li><li>Country (drop down)</li><li>Zip/Country Code</li></ul>,,,Summer
Code verification completely broken!,,Defined,,,Shopping Team,,,3,Crash/Data Loss,Open,Development,Resolve Immediately,FALSE,None,FALSE,,"The application accepts any 6 character long string as a valid promotional code and applies the maximum discount to the order!<br /><br />Steps:<br /> <ul><li>Logged in as a customer, choose a few items to purchase</li><li>Enter an invalid promotional code (of correct length) in the editable field</li><li>Click update</li><li>Maximum discount is applied to the order</li></ul>This occurs for any codes entered that contain 6 characters.",,,Summer
(Auto) Fitnesse Test Failed for GUI - Checkout Button,,Defined,daniel@acme.com,Purchase Your Items,Shopping Team,,,1,Major Problem,Open,Development,High Attention,FALSE,None,FALSE,,Please see Fitnesse Result Logs for more information.,,,Summer
latest Promo Code is invalid.,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 6,R2,,Cosmetic,Closed,Development,Low,FALSE,None,FALSE,,"On the payment screen, the Promo Code field label formatting is incorrect.&nbsp; Currently it is bold and italic, thought it should just be bold to match the rest of the field labels.<br /><br /><i><b>Promo Code</b></i> -&gt; <b>Promo Code</b>",,,Summer
(Auto) Fitnesse Test Failed for Calculations,Ready for Dev,Defined,,,Shopping Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,Please see Fitnesse Result Logs for more information.,,,Summer
